Cayuga,-76.701,42.7513504317,Aurora Village-Wells College Historic District
Wayne,-77.1822,43.2807024132,Pultneyville Historic District
Ontario,-76.9762,42.8388849247,Belhurst Castle
Wayne,-77.3054,43.257573727,Brick Church Corners
Seneca,-76.8768,42.6751448376,Willard Asylum for the Chronic Insane
Seneca,-76.6837,42.5741984284,Covert Historic District
Yates,-77.0535,42.664674662,Penn Yan Historic District
Onondaga,-75.9752,43.0032580006,Manlius Village Historic District
Onondaga,-76.4331,43.159378436,Whig Hill and Dependencies
Onondaga,-76.1415,43.0544053526,Hawley-Green Street Historic District
Onondaga,-76.3898,42.9838213126,Kelsey-Davey Farm
Onondaga,-76.1491,43.047348614,Montgomery Street-Columbus Circle Historic District
Onondaga,-76.1344,43.0381044751,Syracuse University-Comstock Tract Buildings
Onondaga,-76.4746,43.0670089025,Jordan Village Historic District
Onondaga,-76.1324,43.0424493832,Walnut Park Historic District
Onondaga,-76.1546,43.0475987188,Armory Square Historic District
Onondaga,-76.1534,43.0609255469,North Salina Street Historic District
Onondaga,-76.147,43.0293385378,South Salina Street Historic District
Madison,-75.885,42.9475620528,Beckwith Farmhouse
Madison,-75.8358,42.8939597134,Crandall Farm Complex
Madison,-75.8776,42.9280812571,Evergreen Acres
Madison,-75.8609,42.9170278784,The Meadows Farm Complex
Madison,-75.8513,42.9158590899,Parker Farmhouse
Madison,-75.8456,42.9127691162,Rolling Ridge Farm
Madison,-75.8351,42.9219831569,The Maples
Onondaga,-76.3352,43.1618633786,Oswego-Oneida Streets Historic District
Onondaga,-76.1509,43.0502609252,Hanover Square Historic District
Oswego,-76.5062,43.465310017,Fort Ontario
Jefferson,-76.0613,43.7346810442,Pierrepont Manor Complex
Oswego,-76.1278,43.5671938219,Pulaski Village Historic District
Oswego,-76.165,43.645324454,Holyoke Cottage
Jefferson,-75.9099,43.9746681479,Public Square Historic District
Jefferson,-76.3448,44.1244007133,Broadway Historic District
Jefferson,-76.3118,44.1161244576,"Cocaigne, Nicholas, House"
Jefferson,-76.2606,44.1061245454,"Dezengremel, Remy, House"
Jefferson,-76.2863,44.1033079741,"Dyer, Reuter, House"
Jefferson,-76.23,44.1424107918,"Vautrin, Claude, House"
Jefferson,-76.2735,44.1305858791,"Wilson, Warren, House"
Jefferson,-76.1195,43.9473562183,Sackets Harbor Village Historic District
Tompkins,-76.4982,42.441937763,De Witt Park Historic District
Cortland,-76.1803,42.6366203117,Old Homer Village Historic District
Tompkins,-76.5901,42.4014280629,Enfield Falls Mill and Miller's House
Broome,-75.6431,42.0779316657,Windsor Village Historic District
Cortland,-76.1373,42.6265568552,Cortland County Poor Farm
Cortland,-76.1853,42.5960737503,Tompkins Street/Main Street Historic District
Chenango,-75.7703,42.3302837408,Greene Historic District
Tioga,-76.1818,42.3253918212,"Ball, Levi, House"
Tioga,-76.1868,42.3063318781,Berkshire Village Historic District
Tioga,-76.1792,42.3283858449,"Royce, J. B., House and Farm Complex"
Tompkins,-76.2958,42.4892227801,Dryden Village Historic District
Chenango,-75.5941,42.4409937262,Oxford Village Historic District
